epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,10725.6,0.80991,1.2331,0.5707,1.06846,0.93048,0.91737,0.94991,0.68926,0.93015,0.91681,0.94967,0.6948,1.02353,1.5442,0.62622,1.28573,0.000359,0.000359,0.000359
74,10856.1,0.82001,1.22311,0.57552,1.09793,0.93105,0.91019,0.94609,0.68526,0.92214,0.91973,0.94555,0.69206,1.03341,1.49363,0.61489,1.28866,0.000346625,0.000346625,0.000346625
75,10986.1,0.82346,1.2352,0.57209,1.09566,0.91727,0.91346,0.93752,0.67975,0.91947,0.91808,0.94046,0.68899,1.02672,1.52376,0.63901,1.29055,0.00033425,0.00033425,0.00033425
76,11116.1,0.80133,1.21855,0.55956,1.08718,0.92373,0.92868,0.94623,0.6873,0.92654,0.93062,0.94463,0.69417,1.02473,1.50902,0.61565,1.26785,0.000321875,0.000321875,0.000321875
77,11245.6,0.78863,1.18572,0.54749,1.06436,0.91479,0.93519,0.94774,0.69061,0.92226,0.93699,0.95168,0.69884,1.03563,1.50053,0.60258,1.28538,0.0003095,0.0003095,0.0003095
78,11376.5,0.78703,1.1841,0.53967,1.06843,0.92436,0.90004,0.94596,0.69321,0.9372,0.91341,0.95075,0.6978,1.00653,1.49335,0.61404,1.27274,0.000297125,0.000297125,0.000297125
79,11499.9,0.7868,1.20443,0.5313,1.0768,0.937,0.92055,0.95031,0.69422,0.94082,0.92398,0.94893,0.69865,1.01769,1.51641,0.59878,1.27161,0.00028475,0.00028475,0.00028475
80,11629.5,0.78181,1.19319,0.54221,1.07293,0.94667,0.92284,0.95747,0.70136,0.94631,0.92228,0.95635,0.70788,1.02162,1.49235,0.58313,1.26176,0.000272375,0.000272375,0.000272375
81,11750.2,0.8257,1.19777,0.56401,1.08467,0.94131,0.92119,0.95168,0.69525,0.94302,0.92257,0.95283,0.70363,0.99839,1.48173,0.58239,1.25395,0.00026,0.00026,0.00026
82,11871.2,0.7651,1.16933,0.5281,1.06056,0.94026,0.91388,0.95452,0.68886,0.93817,0.91178,0.95325,0.704,1.02581,1.49604,0.59154,1.28978,0.000247625,0.000247625,0.000247625
83,11993.8,0.79388,1.17944,0.53391,1.08725,0.92365,0.93617,0.95177,0.70002,0.93274,0.93627,0.95493,0.70426,1.00309,1.49996,0.57609,1.26257,0.00023525,0.00023525,0.00023525
84,12123.5,0.78146,1.18612,0.53595,1.07891,0.93417,0.93245,0.95498,0.69752,0.93648,0.93614,0.95784,0.69831,1.02079,1.50881,0.58126,1.27138,0.000222875,0.000222875,0.000222875
85,12245.6,0.7747,1.18374,0.5305,1.07192,0.94272,0.90421,0.95299,0.70178,0.93793,0.91364,0.95402,0.70484,0.99705,1.49464,0.58007,1.27022,0.0002105,0.0002105,0.0002105
86,12374.8,0.75313,1.15892,0.53316,1.05611,0.93796,0.921,0.9519,0.70252,0.94287,0.92563,0.95696,0.70673,1.00952,1.50766,0.5768,1.27555,0.000198125,0.000198125,0.000198125
87,12506.2,0.76244,1.17029,0.51573,1.05493,0.95025,0.93257,0.95931,0.7024,0.95228,0.93451,0.96143,0.7131,1.01099,1.49569,0.56723,1.26322,0.00018575,0.00018575,0.00018575
88,12638.8,0.75839,1.15279,0.51706,1.05328,0.93977,0.92527,0.9526,0.69415,0.94238,0.92854,0.95518,0.7018,1.0258,1.5152,0.58749,1.27223,0.000173375,0.000173375,0.000173375
89,12767.2,0.74302,1.13997,0.51102,1.0518,0.93961,0.92292,0.95182,0.6932,0.94338,0.9264,0.95418,0.70281,1.01953,1.52817,0.5884,1.27885,0.000161,0.000161,0.000161
90,12898.8,0.75907,1.13825,0.5095,1.05364,0.9377,0.93004,0.95529,0.69897,0.93324,0.93772,0.95675,0.7083,1.01813,1.51587,0.57838,1.27368,0.000148625,0.000148625,0.000148625
91,13064,0.71735,1.09411,0.43494,1.04943,0.93644,0.9263,0.94711,0.68988,0.94012,0.92978,0.94933,0.69898,1.00845,1.52816,0.59464,1.27552,0.00013625,0.00013625,0.00013625
92,13193.8,0.71161,1.07842,0.4123,1.03843,0.93658,0.92969,0.95158,0.69624,0.94114,0.93242,0.95337,0.70321,1.01055,1.51932,0.57144,1.27646,0.000123875,0.000123875,0.000123875
93,13322.1,0.70919,1.07464,0.40762,1.04578,0.94423,0.92622,0.94955,0.69935,0.94551,0.92933,0.95076,0.70517,1.01584,1.53202,0.59423,1.29213,0.0001115,0.0001115,0.0001115
94,13440.6,0.69538,1.06439,0.40524,1.03649,0.94172,0.93238,0.95229,0.70117,0.94508,0.93478,0.95497,0.70837,1.0076,1.53571,0.57362,1.27727,9.9125e-05,9.9125e-05,9.9125e-05
95,13561.7,0.69575,1.05936,0.39678,1.03389,0.94012,0.93422,0.95328,0.70212,0.94175,0.93577,0.95552,0.70753,1.01143,1.53885,0.57589,1.2817,8.675e-05,8.675e-05,8.675e-05
96,13680.7,0.68369,1.05196,0.38981,1.01532,0.94484,0.93473,0.9546,0.70587,0.95263,0.93237,0.95555,0.7111,1.01374,1.54836,0.57242,1.28651,7.4375e-05,7.4375e-05,7.4375e-05
97,13804.8,0.69051,1.05397,0.39045,1.0243,0.94212,0.93706,0.95215,0.70399,0.94635,0.94053,0.95526,0.71215,1.01065,1.53449,0.57837,1.27915,6.2e-05,6.2e-05,6.2e-05
98,13926,0.68332,1.04707,0.3885,1.0281,0.94729,0.93121,0.95415,0.70472,0.95373,0.936,0.95784,0.71138,1.01581,1.53541,0.57174,1.27812,4.9625e-05,4.9625e-05,4.9625e-05
99,14044.5,0.66664,1.04612,0.37711,1.01104,0.94045,0.9334,0.95592,0.7076,0.9469,0.93744,0.9578,0.71391,1.00865,1.54232,0.56094,1.27936,3.725e-05,3.725e-05,3.725e-05
100,14169.5,0.65935,1.03302,0.37782,1.013,0.93825,0.93008,0.95416,0.70833,0.94605,0.93755,0.95817,0.71386,1.0086,1.54176,0.55921,1.28264,2.4875e-05,2.4875e-05,2.4875e-05
